Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Idade (Código),Idade
6,Município,2,%,78.71,1300409,Barcelos - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.96,1300508,Barreirinha - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.3,1300607,Benjamin Constant - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,82.99,1300631,Beruri - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,95.63,1300680,Boa Vista do Ramos - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,80.16,1300706,Boca do Acre - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.88,1300805,Borba - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.71,1300839,Caapiranga - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,81.11,1300904,Canutama - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,81.99,1301001,Carauari - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.06,1301100,Careiro - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.09,1301159,Careiro da Várzea - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,86.34,1301209,Coari - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,86.18,1301308,Codajás - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,74.72,1301407,Eirunepé - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,73.69,1301506,Envira - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,86.07,1301605,Fonte Boa - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,77.64,1301654,Guajará - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.74,1301704,Humaitá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,75.84,1301803,Ipixuna - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.14,1301852,Iranduba - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.93,1301902,Itacoatiara - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,73.56,1301951,Itamarati - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.08,1302009,Itapiranga - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.61,1302108,Japurá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,79.36,1302207,Juruá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,84.1,1302306,Jutaí - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,80.4,1302405,Lábrea - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.97,1302504,Manacapuru - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.58,1302553,Manaquiri - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,97.02,1302603,Manaus - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.56,1302702,Manicoré - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,84.33,1302801,Maraã - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.84,1302900,Maués - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.22,1303007,Nhamundá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.02,1303106,Nova Olinda do Norte - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.57,1303205,Novo Airão - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.97,1303304,Novo Aripuanã - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,95.93,1303403,Parintins - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,75.88,1303502,Pauini - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.41,1303536,Presidente Figueiredo - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.27,1303569,Rio Preto da Eva - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,84.1,1303601,Santa Isabel do Rio Negro - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,85.63,1303700,Santo Antônio do Içá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.6,1303809,São Gabriel da Cachoeira - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,85.2,1303908,São Paulo de Olivença - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.06,1303957,São Sebastião do Uatumã - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.49,1304005,Silves - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.45,1304062,Tabatinga - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,79.19,1304104,Tapauá - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.16,1304203,Tefé - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,86.88,1304237,Tonantins - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.07,1304260,Uarini - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.23,1304302,Urucará - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.7,1304401,Urucurituba - AM,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,68.17,1400027,Amajari - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,63.19,1400050,Alto Alegre - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,96.43,1400100,Boa Vista - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.31,1400159,Bonfim - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.81,1400175,Cantá - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.01,1400209,Caracaraí - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.69,1400233,Caroebe - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,79.97,1400282,Iracema - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.67,1400308,Mucajaí - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.82,1400407,Normandia - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.09,1400456,Pacaraima - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.5,1400472,Rorainópolis - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.37,1400506,São João da Baliza - RR,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
